City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Ostersund,SE,63.1792,14.6357,28.85,100,100,19.57,snow
69,Staryy Nadym,RU,65.6118,72.6842,-25.29,99,60,4.99,broken clouds
70,Migori,KE,-1.0634,34.4731,73.08,68,99,8.39,light rain
71,Caravelas,BR,-17.7125,-39.2481,84.34,63,99,9.13,overcast clouds
72,Talara,PE,-4.5772,-81.2719,74.16,68,0,19.57,clear sky
73,Puerto Leguizamo,CO,-0.1934,-74.7819,84.97,51,77,4.12,broken clouds
74,Flinders,AU,-34.5833,150.8552,67.17,87,100,4.0,moderate rain
75,Ondjiva,AO,-17.0667,15.7333,89.28,29,46,10.56,light rain
76,Havre-Saint-Pierre,CA,50.2334,-63.5986,12.2,74,10,10.8,clear sky
77,Salina Cruz,MX,16.1667,-95.2,73.27,60,3,4.79,clear sky
78,Khatanga,RU,71.9667,102.5,-32.19,100,88,5.12,overcast clouds
79,Port Elizabeth,ZA,-33.918,25.5701,70.09,56,20,27.63,few clouds
80,Georgetown,MY,5.4112,100.3354,82.35,78,20,8.05,few clouds
81,Shyryayeve,UA,47.3805,30.1964,39.36,70,94,8.86,overcast clouds
82,New Norfolk,AU,-42.7826,147.0587,56.7,63,0,0.27,clear sky
83,Presidente Olegario,BR,-18.4178,-46.4181,73.89,76,100,8.95,light rain
84,Constitucion,CL,-35.3333,-72.4167,71.17,42,0,4.45,clear sky
85,Castelo Do Piaui,BR,-5.3222,-41.5525,92.3,36,59,7.56,broken clouds
86,Kaputa,ZM,-8.4689,29.6619,67.71,97,100,3.78,heavy intensity rain
87,Kirakira,SB,-10.4544,161.9205,79.03,83,100,2.55,overcast clouds
88,Lorengau,PG,-2.0226,147.2712,78.4,86,100,12.1,overcast clouds
89,Tasiilaq,GL,65.6145,-37.6368,-0.83,55,68,3.91,broken clouds
90,Adrar,MR,20.5022,-10.0711,75.36,32,99,22.59,overcast clouds
91,Berlevag,NO,70.8578,29.0864,24.8,68,100,43.73,overcast clouds
92,Amapa,BR,1.0,-52.0,69.1,99,100,0.6,overcast clouds
93,Karimpur,IN,23.9667,88.6167,63.27,31,22,5.91,few clouds
94,Warrington,GB,53.3925,-2.5802,48.45,73,40,21.85,scattered clouds
95,Tiksi,RU,71.6872,128.8694,-21.8,99,99,8.08,overcast clouds
96,Bereda,ES,43.2686,-7.5406,55.42,100,100,4.38,overcast clouds
97,Sao Filipe,CV,14.8961,-24.4956,72.48,64,1,12.57,clear sky
98,Buritis,BR,-15.6178,-46.4233,81.55,66,53,6.22,broken clouds
99,Asau,RO,46.4333,26.4,38.32,49,72,6.17,broken clouds
100,Vaini,TO,-21.2,-175.2,75.36,88,100,2.3,moderate rain
101,Ilulissat,GL,69.2167,-51.1,-4.13,78,100,5.1,overcast clouds
102,Poya,NC,-21.35,165.15,76.64,93,98,6.04,overcast clouds
103,Dikson,RU,73.5069,80.5464,-18.72,99,99,10.85,overcast clouds
104,Hithadhoo,MV,-0.6,73.0833,80.98,68,3,1.72,clear sky
105,Anloga,GH,5.7947,0.8973,84.22,60,53,10.02,broken clouds
106,Iqaluit,CA,63.7506,-68.5145,6.53,77,100,17.27,light snow
107,Worland,US,44.0169,-107.9554,25.95,87,65,1.99,broken clouds
108,Kaeo,NZ,-35.1,173.7833,62.33,91,15,3.04,few clouds
109,Barrow,US,71.2906,-156.7887,-7.58,77,40,13.8,haze
110,Kavaratti,IN,10.5669,72.642,81.97,73,20,6.22,few clouds
111,Avera,US,33.194,-82.5271,41.38,82,9,2.86,clear sky
112,Iquique,CL,-20.2208,-70.1431,69.84,67,99,7.14,overcast clouds
113,Pingzhuang,CN,42.0372,119.2889,12.6,44,0,2.55,clear sky
114,Chuy,UY,-33.6971,-53.4616,73.6,32,3,12.8,clear sky
115,Jamestown,US,42.097,-79.2353,44.55,65,20,10.36,few clouds
116,Kahului,US,20.8947,-156.47,72.84,77,1,4.0,clear sky
117,Port Hardy,CA,50.6996,-127.4199,41.18,87,100,27.63,light intensity shower rain
118,La Ronge,CA,55.1001,-105.2842,-14.55,70,75,1.14,broken clouds
119,Sosnovo-Ozerskoye,RU,52.5249,111.5418,-7.37,96,85,6.64,overcast clouds
120,Asfi,MA,32.2994,-9.2372,68.43,51,0,8.05,clear sky
121,Labuhan,ID,-6.8844,112.2051,78.58,87,100,14.23,overcast clouds
122,Kaitangata,NZ,-46.2817,169.8464,50.27,94,100,6.51,overcast clouds
