City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Potchefstroom,ZA,78.01,overcast clouds,-26.7167,27.1,Road Lodge Hotel
387,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,Estalagem Ponta do Sol
402,Camana,PE,71.02,overcast clouds,-16.6228,-72.7111,Caja Arequipa
405,Grand Gaube,MU,80.38,scattered clouds,-20.0064,57.6608,Coco Villa
407,Takoradi,GH,84.9,scattered clouds,4.8845,-1.7554,Hillcrest
411,Manokwari,ID,77.95,overcast clouds,-0.8667,134.0833,Hotel Arfak
416,Koumac,NC,78.01,overcast clouds,-20.5667,164.2833,Monitel Koumac
423,Isangel,VU,79.75,heavy intensity rain,-19.55,169.2667,Tanna Lodge
428,Matara,LK,76.77,scattered clouds,5.9485,80.5353,Villa Palm Breeze
430,Cabinda,AO,82.62,light rain,-5.55,12.2,Hotel Mayombe
431,Vila Velha,BR,89.55,few clouds,-20.3297,-40.2925,Hotel Prainha
438,Cobija,BO,82.58,broken clouds,-11.0267,-68.7692,Hotel El Cristo
445,Concordia,AR,78.87,clear sky,-31.393,-58.0209,D'Charruas
448,Sao Miguel Do Araguaia,BR,77.14,light rain,-13.275,-50.1628,Hotel São Miguel
449,Ambulu,ID,76.1,overcast clouds,-8.345,113.6058,Hotel Ambulu
450,Sorong,ID,82.06,light rain,-0.8833,131.25,Hotel Membramo Marina
451,Sibu,MY,73.42,overcast clouds,2.3,111.8167,The Paramount Hotel
452,Nabire,ID,76.19,overcast clouds,-3.3667,135.4833,Hotel Anggrek
457,Voi,KE,83.7,overcast clouds,-3.3945,38.563,Fine Breeze Hotel
458,Fayaoue,NC,81.19,overcast clouds,-20.65,166.5333,Hôtel Beaupré
460,Banda Aceh,ID,77.59,overcast clouds,5.5577,95.3222,Hotel 61
462,Nova Vicosa,BR,83.55,overcast clouds,-17.8919,-39.3719,Colonia de Férias AMAGIS
467,Broken Hill,AU,74.26,clear sky,-31.95,141.4333,Ibis Styles
475,Kroya,ID,78.4,moderate rain,-7.6331,109.2461,Setia Hotel
484,San Juan,AR,81.57,clear sky,-31.5375,-68.5364,Hotel San Francisco
490,Meulaboh,ID,76.8,scattered clouds,4.1363,96.1285,Hotel Meuligou
494,Necochea,AR,75.06,clear sky,-38.5473,-58.7368,Cabañas Río Quequén
502,Pontianak,ID,76.98,few clouds,-0.0333,109.3333,Golden Tulip Hotel
504,Lethem,GY,85.3,few clouds,3.3803,-59.7968,Hotel Amazonas
511,Sinnamary,GF,78.42,overcast clouds,5.3833,-52.95,Hôtel du fleuve
518,Eyl,SO,78.69,overcast clouds,7.9803,49.8164,فندق ايل دابي
527,Tual,ID,84.25,overcast clouds,-5.6667,132.75,Suita
533,Kalmunai,LK,77.32,broken clouds,7.4167,81.8167,Saji new food
534,Manado,ID,79.57,scattered clouds,1.487,124.8455,Swiss Belhotel
539,La Asuncion,VE,78.75,few clouds,11.0333,-63.8628,Hotel La Ciudad
541,Neiafu,TO,75.88,scattered clouds,-18.65,-173.9833,Port Wine Guest House
550,Basco,PH,74.1,overcast clouds,20.4487,121.9702,Tawsen Hotel
554,Honiara,SB,76.93,overcast clouds,-9.4333,159.95,King Solomon Hotel
559,Mindelo,CV,72.86,clear sky,16.8901,-24.9804,Solar Windelo
562,The Valley,AI,82.09,scattered clouds,18.217,-63.0578,CeBlue
569,Port Blair,IN,77.61,scattered clouds,11.6667,92.75,Andaman Ocean Breeze
573,Mityana,UG,72.25,light rain,0.4175,32.0228,Kolping Hotel Masindi
574,Cozumel,MX,75.07,moderate rain,20.5083,-86.9458,Hotel Isla Esmeralda
588,Kolokani,ML,88.95,overcast clouds,13.5728,-8.0339,Hôtel kolokani
593,Caibarien,CU,74.52,scattered clouds,22.5206,-79.4669,Restaurante Hostal El Coliseo
598,Maracaibo,VE,80.89,clear sky,10.6317,-71.6406,Hotel Aladdin
599,Labuan,MY,80.26,overcast clouds,5.2767,115.2417,Labuan Avenue Hotel
603,Jaguarao,BR,77.52,clear sky,-32.5661,-53.3758,Hotel Sinuelo
607,Noumea,NC,80.01,overcast clouds,-22.2763,166.4572,Hotel Gondwana
610,Veraval,IN,73.67,clear sky,20.9,70.3667,Shyam
613,Inhambane,MZ,83.05,clear sky,-23.865,35.3833,Hotel de Inhambane
618,Quatre Cocos,MU,80.1,few clouds,-20.2078,57.7625,Horisun
624,Concepcion Del Uruguay,AR,86.25,clear sky,-32.4825,-58.2372,Hostería Mitre949
630,Caraballeda,VE,84.87,few clouds,10.6112,-66.8522,Hotel Belmar
631,Pointe-Noire,CG,83.43,broken clouds,-4.7761,11.8635,HÔTEL F.A.R.E
633,Champerico,GT,77.54,clear sky,14.3,-91.9167,Hotel y Restaurante El Submarino
637,Tres Arroyos,AR,81.75,clear sky,-38.3739,-60.2798,Andrea Hotel
639,Tahoua,NE,83.46,clear sky,14.8888,5.2692,Hotel Bungalow
644,Bathsheba,BB,83.01,light rain,13.2167,-59.5167,Atlantis Hotel
646,Daru,PG,78.51,overcast clouds,-9.0763,143.2092,Kuki
647,Lichtenburg,ZA,77.09,overcast clouds,-26.152,26.1597,Scott's Manor
651,Madang,PG,75.31,overcast clouds,-5.2246,145.7966,Madang Star International
653,Chimbote,PE,71.15,broken clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
654,Siquirres,CR,78.96,broken clouds,10.0975,-83.5066,Hotel Central
657,Puerto Rico,AR,87.21,clear sky,-26.796,-55.024,Suizo
662,Hualmay,PE,72.0,overcast clouds,-11.0964,-77.6139,Hotel Mi Choacan
667,Kuching,MY,79.02,scattered clouds,1.55,110.3333,Hotel Samudera
670,Praia,CV,79.34,few clouds,14.9215,-23.5087,Casa Sodadi
671,Valparaiso,CL,72.0,clear sky,-33.0393,-71.6273,Ibis Hotel
673,Namatanai,PG,78.84,light rain,-3.6667,152.4333,Namatanai Hotel
675,Manaure,CO,79.83,clear sky,11.7751,-72.4445,hotel palaima
679,Lazaro Cardenas,MX,71.74,scattered clouds,17.9583,-102.2,Hotel Sol del Pacífico
682,Abu Dhabi,AE,71.71,few clouds,24.4667,54.3667,Marriott Downtown Abu-Dhabi
683,Sur,OM,73.11,clear sky,22.5667,59.5289,Sur Hotel
684,Pangai,TO,79.5,light rain,-19.8,-174.35,Billy's Place
688,Lubango,AO,80.2,broken clouds,-14.9172,13.4925,Novo Hotel
691,Vazante,BR,77.86,overcast clouds,-17.9869,-46.9078,Kabana
694,Puerto Carreno,CO,84.96,broken clouds,6.189,-67.4859,Carreño Plaza
701,Mitsamiouli,KM,83.03,light rain,-11.3847,43.2844,Hotel le Paradis
709,Vanimo,PG,76.78,light rain,-2.6741,141.3028,CBC Guesthouse
728,Tanete,ID,75.92,light rain,-3.9443,119.7848,Hotel grand Sidny
