City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Atuona,PF,2022-12-22 00:19:41,-9.8,-139.0333,79.0,79,61,19.33
59,Saint George,US,2022-12-22 00:19:42,37.1041,-113.5841,50.63,36,0,1.99
60,Nikolskoye,RU,2022-12-22 00:19:42,59.7035,30.7861,37.29,98,100,8.97
61,Bose,IT,2022-12-22 00:19:42,45.4612,8.0137,37.2,88,48,2.21
62,Manono,CD,2022-12-22 00:19:43,-7.3,27.4167,67.53,98,100,2.66
63,Komsomolskiy,UZ,2022-12-22 00:19:43,40.4272,71.7189,32.72,86,40,2.3
64,Leningradskiy,RU,2022-12-22 00:19:43,69.3833,178.4167,3.43,80,4,9.55
65,Aquiraz,BR,2022-12-22 00:16:44,-3.9014,-38.3911,82.49,81,8,9.28
66,Concordia,AR,2022-12-22 00:15:08,-31.393,-58.0209,83.16,31,0,8.23
67,Nayudupeta,IN,2022-12-22 00:19:44,13.9,79.9,68.88,86,87,5.14
68,Andapa,MG,2022-12-22 00:19:44,-14.65,49.65,68.25,99,54,1.21
69,Wittingen,DE,2022-12-22 00:19:45,52.7269,10.7361,44.67,100,99,7.81
70,Kodiak,US,2022-12-22 00:19:45,57.79,-152.4072,38.71,87,100,19.57
71,Kodinsk,RU,2022-12-22 00:19:46,58.6881,99.1844,15.06,95,100,4.14
72,Kabompo,ZM,2022-12-22 00:19:46,-13.5927,24.2008,63.16,97,98,1.92
73,Kapaa,US,2022-12-22 00:19:46,22.0752,-159.319,80.92,70,20,9.22
74,Nishihara,JP,2022-12-22 00:19:47,26.1842,127.7558,60.85,53,75,28.77
75,Damghan,IR,2022-12-22 00:19:47,36.1683,54.348,36.25,66,100,2.26
76,Mahebourg,MU,2022-12-22 00:19:47,-20.4081,57.7,73.26,88,20,4.61
77,Vidalia,US,2022-12-22 00:19:48,32.2177,-82.4135,44.55,93,100,9.22
78,Mount Isa,AU,2022-12-22 00:19:48,-20.7333,139.5,89.37,45,87,11.5
79,Gizo,SB,2022-12-22 00:19:48,-8.103,156.8419,84.0,73,73,4.79
80,Aloleng,PH,2022-12-22 00:19:49,16.1307,119.7824,77.61,70,92,20.15
81,Gafanha Da Encarnacao,PT,2022-12-22 00:19:49,40.6181,-8.733,62.06,94,100,10.96
82,West Lafayette,US,2022-12-22 00:19:49,40.4259,-86.9081,34.3,82,0,10.36
83,Rapar,IN,2022-12-22 00:19:50,23.5667,70.6333,64.11,39,0,9.35
