City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Koslan,RU,2022-12-21 04:11:48,63.4564,48.8989,-18.58,100,96,1.66
59,Cacu,BR,2022-12-21 04:11:49,-18.5567,-51.1308,71.24,89,78,1.45
60,Kodiak,US,2022-12-21 04:00:48,57.79,-152.4072,26.11,74,100,4.61
61,Zhezkazgan,KZ,2022-12-21 04:11:49,47.8043,67.7144,17.58,93,100,17.9
62,Nhulunbuy,AU,2022-12-21 04:11:49,-12.2333,136.7667,81.21,89,75,4.61
63,Nouadhibou,MR,2022-12-21 04:11:50,20.931,-17.0347,66.11,51,0,17.38
64,Scarborough,GB,2022-12-21 04:08:48,54.2797,-0.4044,44.17,88,100,8.99
65,Cabo San Lucas,MX,2022-12-21 04:07:07,22.8909,-109.9124,72.52,65,90,3.09
66,Laguna,US,2022-12-21 04:11:50,38.421,-121.4238,48.18,83,0,4.61
67,Belle Fourche,US,2022-12-21 04:11:51,44.6714,-103.8522,-4.68,61,100,8.68
68,Curvelo,BR,2022-12-21 04:11:51,-18.7564,-44.4308,66.47,97,100,7.18
69,Trat,TH,2022-12-21 04:11:51,12.5,102.5,86.92,54,62,11.05
70,Victoria,HK,2022-12-21 04:03:46,22.2855,114.1577,69.24,45,100,11.99
71,Trincomalee,LK,2022-12-21 04:11:52,8.5711,81.2335,78.24,85,100,15.9
72,Hervey Bay,AU,2022-12-21 04:11:52,-25.2986,152.8535,74.82,57,24,17.96
73,Ninghai,CN,2022-12-21 04:11:52,29.2892,121.4247,54.1,47,26,13.24
74,Khatanga,RU,2022-12-21 04:05:06,71.9667,102.5,-23.78,79,1,16.69
75,Port Macquarie,AU,2022-12-21 04:11:24,-31.4333,152.9167,69.89,53,12,13.58
76,Kibaya,TZ,2022-12-21 04:11:53,-5.3,36.5667,61.45,90,100,3.58
77,Butaritari,KI,2022-12-21 04:05:10,3.0707,172.7902,82.15,79,100,17.13
78,Thinadhoo,MV,2022-12-21 04:11:53,0.5333,72.9333,81.05,75,100,11.07
79,Lorengau,PG,2022-12-21 04:09:54,-2.0226,147.2712,85.35,67,39,5.39
80,Bilibino,RU,2022-12-21 04:11:54,68.0546,166.4372,5.09,78,1,6.46
81,Castro,BR,2022-12-21 04:07:29,-24.7911,-50.0119,56.48,95,93,4.5
82,Pathein,MM,2022-12-21 04:11:54,16.7833,94.7333,84.67,55,12,4.74
83,Saint-Philippe,RE,2022-12-21 04:05:02,-21.3585,55.7679,80.19,78,95,7.94
84,Sangar,RU,2022-12-21 04:11:54,63.9242,127.4739,-24.48,93,100,1.86
85,Montes Altos,BR,2022-12-21 04:11:55,-5.8333,-47.0667,71.26,94,33,1.43
86,Pangody,RU,2022-12-21 04:11:55,65.85,74.4859,-20.72,95,100,12.19
87,Muli,MV,2022-12-21 04:11:55,2.9167,73.5667,78.01,89,100,20.6
88,Santa Maria Da Vitoria,BR,2022-12-21 04:12:56,-13.3947,-44.1886,69.04,95,99,3.67
89,Cape Town,ZA,2022-12-21 03:59:59,-33.9258,18.4232,63.1,71,0,23.02
90,Inhambane,MZ,2022-12-21 04:08:51,-23.865,35.3833,77.18,76,15,12.46
91,Calvinia,ZA,2022-12-21 04:12:56,-31.4707,19.776,61.83,62,0,10.25
92,Groningen,NL,2022-12-21 04:12:56,53.25,6.75,44.13,96,100,5.75
